ID,Title,Company,Location,Type,Category,Skills,Description,Created At
69c43ee241e401fbb886f1e5,"Junior Java Developer","Banking IT","Jakarta Pusat","Penuh Waktu","Engineering","Java; Spring Boot; SQL; Hibernate; API","Ini adalah kesempatan emas bagi lulusan baru atau developer dengan pengalaman 1-2 tahun untuk belajar dan berkembang di lingkungan perbankan yang terstruktur. Kamu akan dimentori oleh senior developer dalam memelihara dan mengembangkan sistem inti perbankan menggunakan Java dan Spring Boot. Tugas sehari-hari meliputi penulisan kode untuk fitur baru, perbaikan bug, dan penulisan dokumentasi teknis. Keuletan belajar dan kemampuan pemecahan masalah lebih diutamakan daripada pengalaman.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1e6,"Data Scientist","Fintech Startup","Jakarta Selatan","Penuh Waktu","Data","Python; Machine Learning; Pandas; Scikit-learn; SQL","Sebagai Data Scientist di fintech kami, kamu akan membangun dan memvalidasi model credit scoring yang menentukan kelayakan kredit jutaan calon peminjam. Pekerjaan ini melibatkan eksplorasi data keuangan yang besar (EDA), rekayasa fitur (feature engineering), pelatihan model machine learning dengan scikit-learn, dan evaluasi model menggunakan metrik bisnis yang relevan. Kemampuan komunikasi yang baik untuk mempresentasikan temuan kepada stakeholder non-teknis juga sangat penting.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1e7,"Senior Data Analyst","E-Commerce Unicorn","Tangerang","Penuh Waktu","Data","SQL; Tableau; Excel; Data Visualization; Statistics","Kami membutuhkan seorang analis data senior yang dapat menggali wawasan mendalam dari data perilaku jutaan pelanggan e-commerce kami. Kamu akan membangun dashboard interaktif di Tableau, merancang dan menganalisis eksperimen A/B testing, serta menyediakan rekomendasi berbasis data kepada manajemen produk dan marketing. Keahlian SQL tingkat lanjut, pemahaman statistik yang kuat, dan kemampuan storytelling melalui visualisasi data adalah kunci keberhasilan di peran ini.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1e8,"Data Engineer","Big Data Corp","Jakarta Barat","Penuh Waktu","Data","Python; SQL; ETL; Airflow; BigQuery","Bergabunglah sebagai Data Engineer untuk membangun dan memelihara infrastruktur data yang menjadi tulang punggung analitik perusahaan. Tanggung jawab utamamu adalah mendesain pipeline ETL (Extract, Transform, Load) yang handal menggunakan Apache Airflow, mengelola data warehouse di BigQuery, dan memastikan kualitas data yang tinggi di seluruh sistem. Kamu akan berkolaborasi dengan tim Data Scientist dan Analyst untuk memahami kebutuhan data mereka dan menyediakan solusi yang tepat.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1e9,"Business Intelligence Analyst","Retail Group","Bekasi","Penuh Waktu","Data","Power BI; SQL; Excel; Business Analysis; Reporting","Posisi BI Analyst ini bertanggung jawab untuk mengubah data operasional bisnis ritel menjadi laporan dan dashboard yang bermakna bagi para pengambil keputusan. Kamu akan merancang dan mengembangkan laporan menggunakan Power BI, bekerja sama dengan manajemen untuk memahami KPI bisnis, dan memastikan data yang disajikan akurat dan tepat waktu. Pemahaman tentang proses bisnis ritel (inventory, penjualan, supply chain) adalah nilai tambah yang signifikan.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1ea,"Machine Learning Engineer","AI Research","Bandung","Penuh Waktu","Data","Python; TensorFlow; PyTorch; Docker; MLOps","Peran ini berfokus pada jembatan antara riset AI dan produk nyata. Kamu akan mengambil model machine learning yang dikembangkan oleh tim riset dan menerapkannya ke lingkungan produksi yang handal dan skalabel. Pekerjaan ini mencakup containerisasi model dengan Docker, pembuatan API untuk serving prediksi, monitoring performa model di produksi (model drift), dan otomatisasi pipeline pelatihan ulang (retraining). Pengalaman dengan MLOps tools seperti MLflow atau Kubeflow menjadi keuntungan.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1eb,"Data Analytics Consultant","Consulting Firm","Jakarta Pusat","Penuh Waktu","Data","Python; SQL; Excel; Presentation","Sebagai konsultan, kamu akan bekerja dengan berbagai klien dari industri yang beragam untuk membantu mereka mengambil keputusan bisnis yang lebih cerdas berbasis data. Setiap proyek akan memberimu tantangan unik, mulai dari analisis data penjualan, optimasi rantai pasok, hingga segmentasi pelanggan. Kemampuan analitis yang tajam, keterampilan presentasi yang mumpuni, dan kemampuan adaptasi yang cepat di lingkungan yang berubah-ubah adalah kunci sukses di posisi ini.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1ec,"Big Data Specialist","Telco Provider","Jakarta Selatan","Penuh Waktu","Data","Hadoop; Spark; Scala; Java; NoSQL","Bergabunglah dengan tim data kami untuk menangani dan mengolah dataset masif dari jutaan pelanggan telekomunikasi. Kamu akan bekerja dengan ekosistem Hadoop dan Apache Spark untuk memproses data dalam skala terabyte, membangun pipeline data batch dan streaming, serta mengoptimalkan query pada platform distributed computing. Pemahaman mendalam tentang Scala atau Java untuk pengembangan Spark job sangat diperlukan.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1ed,"Marketing Data Analyst","AdTech","Remote","Penuh Waktu","Data","Google Analytics; SQL; Excel; Python; Marketing","Posisi ini ada di persimpangan antara data dan marketing. Kamu akan menganalisis performa kampanye iklan digital di berbagai platform (Google Ads, Meta Ads, TikTok Ads), mengoptimalkan a anggaran iklan untuk memaksimalkan ROI, dan membangun model atribusi untuk memahami kontribusi setiap channel marketing. Pengalaman dengan Google Analytics, platform BI, dan dasar-dasar statistik adalah hal yang wajib dimiliki.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1ee,"Junior Data Analyst","StartUp Inc","Yogyakarta","Penuh Waktu","Data","Excel; SQL; Python; Basics","Ini adalah posisi entry-level yang sempurna bagi kamu yang ingin memulai karir di bidang data. Kamu akan belajar sambil bekerja dalam membersihkan dan memvalidasi data, membuat laporan berkala menggunakan SQL dan Excel, serta membantu tim senior dalam analisis yang lebih kompleks. Startup kami menawarkan lingkungan belajar yang dinamis, mentor yang berpengalaman, dan kesempatan untuk berkembang cepat seiring pertumbuhan perusahaan.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1ef,"Database Administrator","Server Host","Surabaya","Penuh Waktu","Data","MySQL; PostgreSQL; Linux; Backup; Performance Tuning","Sebagai Database Administrator, kamu adalah penjaga keamanan dan performa data perusahaan. Tanggung jawabmu meliputi instalasi, konfigurasi, dan pemeliharaan server database MySQL dan PostgreSQL, pembuatan strategi backup dan recovery yang efektif, monitoring dan optimasi performa query (tuning), serta pengelolaan hak akses pengguna database. Pengalaman dengan lingkungan Linux dan pemahaman tentang konsep keamanan database sangat diperlukan.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1f0,"Senior Product Manager","SuperApp","Jakarta Selatan","Penuh Waktu","Product","Product Management; Agile; Roadmap; User Research; Analytics","Kami mencari Product Manager berpengalaman untuk memimpin vertical ride-hailing di superapp kami yang digunakan oleh lebih dari 50 juta pengguna. Kamu akan mendefinisikan visi dan roadmap produk, melakukan riset pengguna mendalam, menganalisis data untuk menemukan peluang pertumbuhan, dan bekerja sama erat dengan tim engineering dan desain untuk mengeksekusi strategi. Kemampuan untuk menyeimbangkan kebutuhan pengguna, tujuan bisnis, dan kemungkinan teknis adalah kunci keberhasilanmu.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1f1,"Product Owner","Banking App","Jakarta Pusat","Penuh Waktu","Product","Scrum; Jira; User Stories; Communication; Backlog","Sebagai Product Owner, kamu adalah suara dari pelanggan di dalam tim pengembangan. Kamu akan mengelola dan memprioritasikan backlog produk, menulis user stories yang jelas dan terperinci, serta berpartisipasi aktif dalam seluruh seremonial Scrum (Sprint Planning, Daily Standup, Review, Retrospective). Keminatan terhadap produk perbankan digital, kemampuan komunikasi yang tajam, dan pengalaman dengan Jira adalah hal yang sangat kami cari.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1f2,"Associate Product Manager","EdTech","Tangerang Selatan","Penuh Waktu","Product","Product; Analysis; Excel; Communication; Tech Savvy","Posisi APM di startup edtech kami adalah pintu masuk yang ideal untuk memulai karir sebagai product manager. Kamu akan mendukung Senior PM dalam mendefinisikan fitur, melakukan competitive analysis, membantu pelaksanaan user testing, dan menganalisis data penggunaan produk. Kami menawarkan program mentoring terstruktur, lingkungan yang mendukung pertumbuhan, dan kesempatan untuk memiliki dampak nyata pada pembelajaran jutaan pelajar di Indonesia.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1f3,"Technical Product Manager","Cloud Service","Singapore (Remote)","Penuh Waktu","Product","API; Cloud; System Architecture; Product Management; Agile","Peran Technical PM ini membutuhkan seseorang yang dapat menjembatani dunia teknis dan bisnis dengan mulus. Kamu akan mengelola produk cloud infrastructure kami, menerjemahkan kebutuhan teknis yang kompleks menjadi spesifikasi produk yang jelas, dan bekerja sama langsung dengan tim software engineer tingkat senior. Latar belakang teknis yang kuat (misalnya, pernah menjadi software developer) adalah persyaratan utama untuk dapat berhasil di posisi ini.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1f4,"Product Marketing Manager","SaaS Company","Bali","Penuh Waktu","Product","Marketing Strategy; Copywriting; Product Launch; Market Research; Sales Enablement","BergabUnglah sebagai Product Marketing Manager untuk mendefinisikan bagaimana produk SaaS kami diposisikan dan dikomunikasikan kepada pasar. Kamu akan merancang strategi go-to-market untuk peluncuran fitur baru, membuat materi pemasaran dan sales enablement yang menarik, serta berkolaborasi dengan tim penjualan untuk memahami kebutuhan prospek. Kemampuan penulisan copywriting yang kuat dan pemahaman mendalam tentang target audiens B2B sangat diutamakan.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1f5,"Growth Product Manager","Social Media","Jakarta Utara","Penuh Waktu","Product","A/B Testing; Data Analysis; Growth Hacking; UX; Product","Sebagai Growth PM, seluruh fokusmu adalah membuat platform media sosial kami tumbuh — lebih banyak pengguna baru, lebih banyak pengguna aktif, dan lebih tinggi retensi. Kamu akan merancang dan menjalankan eksperimen pertumbuhan yang cepat (growth experiments), menganalisis funnel akuisisi dan retensi pengguna, serta bekerja sama dengan tim data dan engineering untuk mengidentifikasi dan mengeksploitasi peluang pertumbuhan yang belum dimanfaatkan.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1f6,"Scrum Master","Agile Team","Bandung","Penuh Waktu","Product","Scrum; Agile; Coaching; Jira; Kanban","Kami membutuhkan seorang Scrum Master bersertifikat (CSM/PSM) yang berpengalaman untuk membimbing dan memfasilitasi tim pengembangan kami dalam mengadopsi praktik Agile yang efektif. Kamu akan memimpin seluruh seremonial Scrum, mengidentifikasi dan menghilangkan hambatan (impediments) yang menghalangi tim, serta mendorong budaya perbaikan berkelanjutan (continuous improvement). Pengalaman coaching tim yang sedang dalam transformasi ke Agile adalah nilai tambah.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1f7,"Product Analyst","E-Commerce","Jakarta Barat","Penuh Waktu","Product","SQL; Amplitude; Mixpanel; Data Analysis; Product","Sebagai Product Analyst, kamu akan menjadi mata dan telinga tim produk dalam memahami bagaimana pengguna berinteraksi dengan platform e-commerce kami. Menggunakan tools seperti Amplitude dan Mixpanel, kamu akan men-tracking metrik kunci, membangun funnel analysis, dan melakukan analisis kohort untuk mengidentifikasi pola perilaku pengguna. Temuanmu akan langsung menginformasikan keputusan fitur dan prioritas roadmap produk.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1f8,"Head of Product","New Venture","Jakarta Selatan","Penuh Waktu","Product","Leadership; Strategy; Management; Product; Vision","Ini adalah posisi eksekutif yang membutuhkan pemimpin produk berpengalaman untuk bergabung dalam tahap awal yang krusial dari perusahaan kami. Kamu akan mendefinisikan visi dan strategi produk jangka panjang, membangun dan memimpin tim product management dari nol, serta bekerja langsung dengan CEO dan investor dalam menetapkan arah perusahaan. Rekam jejak yang terbukti dalam membangun produk dari 0 ke 1 dan mendorong pertumbuhan yang signifikan sangat diharapkan.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1f9,"UX Researcher","Product Design Firm","Remote","Penuh Waktu","Product","User Research; Interviewing; Usability Testing; Reporting; Empathy","Sebagai UX Researcher, kamu akan menjadi advokat utama bagi pengguna kami. Dengan menggunakan berbagai metode penelitian seperti wawancara pengguna mendalam, survei, usability testing, dan analisis card sorting, kamu akan menghasilkan wawasan yang memandu keputusan desain dan produk. Kamu akan bekerja sama erat dengan desainer dan product manager untuk memastikan setiap keputusan berakar pada pemahaman nyata tentang kebutuhan pengguna.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1fa,"Senior UI/UX Designer","Design Studio","Bandung","Penuh Waktu","Design","Figma; UI Design; UX Design; Prototyping; Wireframing","Kami mencari desainer UI/UX senior yang memiliki portofolio kuat dan hasrat mendalam terhadap pembuatan pengalaman digital yang indah sekaligus fungsional. Kamu akan memimpin proses desain end-to-end mulai dari wireframing, pembuatan proto interaktif di Figma, hingga handoff spesifikasi kepada developer. Kamu juga akan terlibat aktif dalam sesi riset pengguna untuk memvalidasi keputusan desain. Mentor bagi desainer junior adalah bagian dari tanggung jawabmu.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1fb,"Product Designer","Tech Startup","Jakarta Selatan","Penuh Waktu","Design","Product Design; Figma; Design Systems; User Flows; Interaction Design","Sebagai Product Designer, kamu akan merancang pengalaman produk yang holistik dari konsep awal hingga peluncuran. Kamu akan bertanggung jawab atas keseluruhan alur pengalaman pengguna (user flow), mulai dari onboarding hingga fitur inti, memastikan setiap elemen desain kohesif, intuitif, dan konsisten dengan design system kami. Kolaborasi erat dengan product manager dan engineer adalah bagian integral dari pekerjaan sehari-hari.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1fc,"Graphic Designer","Creative Agency","Yogyakarta","Penuh Waktu","Design","Adobe Photoshop; Illustrator; Branding; Layout; Typography","Kami adalah agensi kreatif yang dinamis dan kami membutuhkan Graphic Designer yang berbakat untuk memperkuat tim kami. Kamu akan membuat berbagai materi kreatif termasuk desain iklan digital, konten media sosial, brosur, serta identitas visual merek untuk klien-klien kami. Penguasaan Adobe Creative Suite (Photoshop dan Illustrator) adalah mutlak, serta kemampuan bekerja di bawah deadline yang ketat sambil menjaga kualitas output.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1fd,"UX Writer","Global App","Remote","Penuh Waktu","Design","Copywriting; UX Writing; Content Strategy; Design; Communication","UX Writer kami bertanggung jawab untuk memastikan setiap kata dalam aplikasi kami — mulai dari label tombol, pesan error, hingga onboarding flow — terasa natural, jelas, dan membantu pengguna. Kamu akan berkolaborasi sangat erat dengan desainer UX dan product manager untuk menciptakan microcopy yang tidak hanya informatif tetapi juga mencerminkan suara merek (brand voice) kami yang ramah dan cerdas. Kemampuan menulis dalam Bahasa Indonesia dan Inggris adalah keharusan.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1fe,"Interaction Designer","Digital Lab","Jakarta Pusat","Penuh Waktu","Design","After Effects; Prototyping; Animation; Figma; Interaction","Bergabunglah dengan lab inovasi digital kami sebagai Interaction Designer yang berfokus pada animasi dan micro-interactions yang membuat pengguna terkesan. Kamu akan membuat proto interaksi yang sangat rinci menggunakan Figma dan After Effects, mendefinisikan prinsip gerak (motion principles) untuk produk kami, serta bekerja sama dengan frontend developer untuk memastikan animasi diimplementasikan dengan tepat. Portofolio yang menampilkan animasi UI yang menarik adalah wajib.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1ff,"Web Designer","Web Dev Shop","Semarang","Penuh Waktu","Design","Web Design; HTML; CSS; Figma; Wordpress","Posisi ini cocok untuk Kamu yang memiliki keahlian visual yang kuat dan memahami dasar-dasar pengembangan web. Kamu akan mendesain tampilan website yang responsif dan menarik untuk klien bisnis kami, mulai dari landing page, company profile, hingga toko online. Selain desain di Figma, kamu juga diharapkan dapat mengimplementasikan desain menggunakan HTML, CSS, dan berkolaborasi dengan developer untuk integrasi dengan platform CMS seperti WordPress.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f200,"Design System Lead","Enterprise UX","Jakarta Selatan","Penuh Waktu","Design","Design Systems; Figma; Documentation; Tokens; Accessibility","Sebagai pemimpin design system, kamu akan membangun, mengelola, dan mengembangkan library komponen desain terpusat yang digunakan oleh lebih dari 20 tim produk di seluruh perusahaan. Tanggung jawabmu mencakup pembuatan dokumentasi komponen yang komprehensif, pengelolaan design tokens, memastikan konsistensi aksesibilitas (WCAG), dan berkoordinasi dengan tim engineering untuk menjaga sinkronisasi antara komponen desain dan kode. Ini adalah peran yang membutuhkan ketelitian tinggi dan kemampuan kolaborasi lintas tim.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f201,"Visual Designer","Brand Agency","Bali","Penuh Waktu","Design","Visual Design; Color Theory; Composition; Adobe CC; Art Direction","Bergabunglah dengan agensi branding kami yang berbasis di Bali untuk menciptakan konsep visual yang memukau untuk kampanye digital klien-klien premium kami. Sebagai Visual Designer, kamu akan mengembangkan estetika visual yang unik dan kohesif, mulai dari pemilihan palet warna, tipografi, hingga komposisi layout. Kamu memiliki mata yang tajam untuk detail estetika dan kemampuan mengomunikasikan konsep visual kepada klien dengan percaya diri.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f202,"Junior UI Designer","Startup","Malang","Penuh Waktu","Design","Figma; UI Basics; Adobe XD; Sketch; Learning","Mulai karir desainmu di startup teknologi kami yang sedang berkembang pesat! Sebagai Junior UI Designer, kamu akan belajar dari para senior designer yang berpengalaman sambil berkontribusi secara nyata dalam pembuatan komponen UI dan layar aplikasi. Kamu akan menggunakan Figma sebagai tool utama dan diharapkan memiliki pemahaman dasar tentang prinsip-prinsip desain antarmuka pengguna. Rasa ingin tahu yang tinggi dan kemauan belajar adalah yang paling kami hargai.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f203,"Creative Director","Big Agency","Jakarta Pusat","Penuh Waktu","Design","Leadership; Creative Direction; Management; Design; Strategy","Posisi Creative Director adalah posisi kepemimpinan senior yang membutuhkan seorang visioner kreatif dengan rekam jejak yang terbukti. Kamu akan mendefinisikan arah kreatif keseluruhan agensi, memimpin dan menginspirasi tim desainer, ilustrator, dan videografer, serta memastikan output kreatif yang dihasilkan selalu berkualitas tinggi dan konsisten dengan visi merek klien. Kemampuan presentasi yang menawan dan pengalaman minimal 8 tahun di industri kreatif adalah persyaratan.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f204,"Digital Marketing Manager","Growth Agency","Jakarta Selatan","Penuh Waktu","Marketing","Digital Marketing; SEO; SEM; Social Media; Analytics","Kami mencari Digital Marketing Manager yang strategis dan berbasis data untuk merancang dan mengeksekusi kampanye marketing digital yang komprehensif bagi klien-klien agensi kami. Kamu akan mengelola strategi SEO/SEM, kampanye media sosial berbayar, dan menganalisis performa menggunakan berbagai tools analitik. Kemampuan untuk mengelola multiple campaign secara bersamaan, memahami target audiens yang berbeda, dan mengoptimalkan ROI kampanye adalah hal yang paling kami cari.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f205,"SEO Specialist","E-Commerce","Tangerang","Penuh Waktu","Marketing","SEO; Keyword Research; Content; HTML; Analytics","Sebagai SEO Specialist, kamu akan bertanggung jawab atas strategi dan eksekusi optimasi mesin pencari (SEO) untuk platform e-commerce kami dengan ribuan halaman produk. Pekerjaan ini mencakup riset kata kunci (keyword research), optimasi konten on-page, analisis backlink, pembuatan laporan peringkat, dan kolaborasi dengan tim konten dan developer untuk implementasi rekomendasi teknis SEO. Pengalaman dengan tools seperti Ahrefs, SEMrush, atau Google Search Console sangat diperlukan.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
